arabic,arabic_romanization,hebrew,hebrew_romanization,pansemitic,derivation,layers
אלי,ʔilā,אֶל,el,ʔila,,shared_borrowing_source
יעקוב,yaʕqūb,יַעֲקֹב,yaʿaqóv,yaʕaqaw,,shared_borrowing_source
יעקוב,yaʕqūb,עֵקֶב,ékev,,,lemma_promoted
יעקוב,yaʕqūb,עָקֵב,akév,yaʕaqaw,,lemma_promoted
יעקוב,yaʕqūb,עָקַב,akáv,,,lemma_promoted
מג׳נון,majnūn,מַגְ׳נוּן,majnún,majnun,,shared_borrowing_source
עִפְֿׄרִיתּ֔,ʕifrīt,עִפְרִית,ʿifrīt,ʕiprit,,shared_borrowing_source
آب,ʔāb,אָב,áv,ʔabum,,shared_borrowing_source
آب # آبَ,ʔāba,אָב,áv,,,shared_borrowing_source
آبَ,ʔāba,אָב,áv,,,shared_borrowing_source
آتَى,ʔātā,נָאוֹת,na'ót,,,direct_cognate_he→ar
آخِر,ʔāḵir,אַחֲרִית,akharít,ʔaxirit,n,root_family
آخِر,ʔāḵir,אַחֲרוֹן,akharón,ʔaxiran,n,root_family
آخِر,ʔāḵir,מְאֻחָר,m'ukhár,miʔaxir,n,root_family
آدَم,ʔādam,אָדָם,adám,ʔadam,,shared_borrowing_source
آدَم,ʔādam,דָּם,dam,dam,,shared_borrowing_source
آذَار,ʔāḏār,אֲדָר,adár,ʔaddarum,,shared_borrowing_source
آزَر,ʔāzar,אֱלִיעֶזֶר,Eli'ézer,ʔiliʕizir,,shared_borrowing_source
آس,ʔās,הֲדַס,haḏás,ʔasum,,direct_cognate_he→ar;shared_borrowing_source
آسٍ,ʔāsin,הֲדַס,haḏás,ʔasum,,shared_borrowing_source
آشُور,ʔāšūr,אַשּׁוּר,ashúr,ʔaššur,,shared_borrowing_source
آكَلَ,ʔākala,אֲכִילָה,akhilá,,,root_family
آكَلَ,ʔākala,אִכֵּל,ikél,,,root_family
آكَلَ,ʔākala,אָכַל,akhál,,,root_family
آكَلَ,ʔākala,אׇכְלָה,okhlá,,,root_family
آكَلَ,ʔākala,מַאֲכָל,ma'akhál,,,root_family
آكَلَ,ʔākala,נֶאֱכַל,ne'ekhál,,,root_family
آمَنَ,ʔāmana,הֶאֱמִין,he'emín,šaʔmana,Š,direct_cognate_ar→he;direct_cognate_he→ar
آمُون,ʔāmūn,אָמוֹן,amon,yamanuw,,shared_borrowing_source
آمُون,ʔāmūn,יָמִין,yamín,yamin,,shared_borrowing_source
آمِر,ʔāmir,אָמוּר,amúr,ʔamir,n,root_family
آن,ʔān,אָנָה,'ána,ʔan,n,direct_cognate_ar→he
آنَثَ,ʔānaṯa,אִשָּׁה,ishá,,,root_family
آنِسَة,ʔānisa,אִשָּׁה,ishá,ʔanisa,n,root_family
آه,,אֲהָהּ,ăhā́h,,,direct_cognate_he→ar
آية,ʔāya,אוֹת,ot,ʔawayat,,direct_cognate_ar→he;direct_cognate_he→ar;shared_borrowing_source
آيَة,ʔāya,אוֹת,ot,ʔawayat,,direct_cognate_ar→he;shared_borrowing_source
أَب,ʔab,אֵב,év,ʔabw,,lemma_promoted
أَب,ʔab,אַב,av,ʔabw,,direct_cognate_he→ar;shared_borrowing_source;lemma_promoted
أَب,ʔab,אַבָּא,ába,ʔabw,,shared_borrowing_source
أَب,ʔab,אָב,áv,ʔabw,,direct_cognate_ar→he;direct_cognate_he→ar;shared_borrowing_source;lemma_promoted
أَب,ʔab,אָבִיב,avív,ʔabiw,n,lemma_promoted
أَب,ʔab,בָּאוֹבַּבּ,baobáb,ʔab,,shared_borrowing_source
أَبَا,ʔabā,אַב,av,ʔaba,n,root_family
أَبَار,ʔabār,אֵבֶר,'éver,ʔabar,n,direct_cognate_ar→he
أَبَاسْخِيرُون,ʔabāsḵīrūn,אֵב,év,ʔabw,,lemma_promoted
أَبَاسْخِيرُون,ʔabāsḵīrūn,אַב,av,ʔabw,,shared_borrowing_source
أَبَاسْخِيرُون,ʔabāsḵīrūn,אַבָּא,ába,ʔabbaʔ,,shared_borrowing_source
أَبَاسْخِيرُون,ʔabāsḵīrūn,אָב,áv,ʔabw,,shared_borrowing_source;lemma_promoted
أَبَاسْخِيرُون,ʔabāsḵīrūn,בָּאוֹבַּבּ,baobáb,ʔabw,,shared_borrowing_source
أَبَاسْخِيرُون,ʔabāsḵīrūn,צָב,tsáv,ṣabb,,shared_borrowing_source
أَبَقَ,ʔabaqa,נֶאֱבַק,ne'evák,,,direct_cognate_he→ar
أَبَى,ʔabā,אָבָה,avá,ʔabay,G,direct_cognate_he→ar;shared_borrowing_source
أَبَّ,ʔabba,אֵב,év,,,lemma_promoted
أَبَّ,ʔabba,אַב,av,,,direct_cognate_he→ar;lemma_promoted
أَبَّ,ʔabba,אָב,áv,,,direct_cognate_he→ar;lemma_promoted
أَبَّ,ʔabba,אָבִיב,avív,,,lemma_promoted
أَبُو ظَبْي,ʔabū ẓaby,אַבּוּ דַאבִּי,abu dábi,ʔabu ṣaby,,shared_borrowing_source
أَبّ,ʔabb,אֵב,év,ʔabb,n,direct_cognate_he→ar;lemma_promoted
أَبّ,ʔabb,אַב,av,ʔabb,n,direct_cognate_he→ar
أَبّ,ʔabb,אָב,áv,ʔabb,n,direct_cognate_he→ar;lemma_promoted
أَبّ,ʔabb,אָבִיב,avív,ʔabbiw,n,direct_cognate_he→ar
أَبْجَد,ʔabjad,אַבְגָּדִי,avgadí,ʔabjad,n,direct_cognate_he→ar
أَبْرَقَ,ʔabraqa,בָּרָק,barák,,,root_family
أَبْرَقَ,ʔabraqa,הִבְרִיק,hivrík,šabraqa,Š,slot_matched;root_family
أَبْرَك,ʔabrak,בָּרוּךְ,barúkh,ʔabrak,n,root_family
أَبْرِيل,ʔabrīl,אֶסְתֵּר,estér,ʔištar,,shared_borrowing_source
أَبْرِيل,ʔabrīl,אַפְּרִיל,apríl,ʔaprilis,,shared_borrowing_source
أَبْطَلَ,ʔabṭala,בִּטֵּל,bitél,,,root_family
أَبْكَى,ʔabkā,בִּכָּה,biká,,,root_family
أَبْكَى,ʔabkā,בֶּכִי,békhi,,,root_family
أَبْكَى,ʔabkā,בָּכָה,bakhá,,,root_family
أَبْلَعَ,ʔablaʕa,הִבְלִיעַ,hivlía,šablaʕa,Š,slot_matched;root_family
أَبْنُوس,ʔabnūs,הׇבְנֶה,hovné,hibni,,shared_borrowing_source
أَبْهَل,ʔabhal,בְּרוֹשׁ,brósh,hamprsa,,shared_borrowing_source
أَبْهَمَ,ʔabhama,בֹּהֶן,bóhen,,,lemma_promoted
أَتَان,ʔatān,אָתוֹן,atón,ʔatan,,direct_cognate_ar→he;direct_cognate_he→ar;shared_borrowing_source
أَتَمَّ,ʔatamma,תֹּם,tóm,,,root_family
أَتَمّ,ʔatamm,תָּמִים,tamím,ʔatamm,n,root_family
أَتْقَنَ,ʔatqana,תִּיקָן,tikán,,,direct_cognate_ar→he
أَثَر,ʔaṯar,אֲשֶׁר,ashér,,,direct_cognate_ar→he;direct_cognate_he→ar;shared_borrowing_source
أَثَر,ʔaṯar,אֲתָר,atár,ʔasar,,shared_borrowing_source
أَثَر,ʔaṯar,אִתֵּר,'itér,,,shared_borrowing_source
أَثَر,ʔaṯar,אֶתֶר,eter,ʔasar,,shared_borrowing_source
أَثَر,ʔaṯar,אֻתַּר,utár,,,shared_borrowing_source
أَثَر,ʔaṯar,אתר,,ʔasar,,shared_borrowing_source
أَثِمَ,ʔaṯima,אַשְׁמָה,ashmá,,,lemma_promoted
أَثِير,ʔaṯīr,אֲתָר,atár,ʔaitir,,shared_borrowing_source
أَثِير,ʔaṯīr,אִתֵּר,'itér,,,shared_borrowing_source
أَثِير,ʔaṯīr,אֶתֶר,eter,ʔaitir,,shared_borrowing_source
أَثِير,ʔaṯīr,אֻתַּר,utár,,,shared_borrowing_source
أَثِير,ʔaṯīr,אתר,,ʔaitir,,shared_borrowing_source
أَثِينَا,ʔaṯīnā,אָתוּנָה,atúna,ʔatinai,,shared_borrowing_source
أَثْقَل,ʔaṯqal,שָׁקוּל,shakúl,ʔasqal,n,root_family
أَثْل,ʔaṯl,אֵשֶׁל,éshel,ʔasl,qatl,direct_cognate_ar→he;slot_matched
أَجَرَ,ʔajara,אָגַר,agár,ʔagara,G,direct_cognate_ar→he
أَجَمَة,ʔajama,אֲגַם,agám,ʔagammum,,direct_cognate_ar→he;direct_cognate_he→ar;shared_borrowing_source
أَجْنَبِيّ,ʔajnabiyy,גָּנוּב,ganúv,ʔajnab,n,root_family
أَجْوَف,ʔajwaf,גּוּף,guf,ʔajwaf,n,lemma_promoted
