kind,base,pos,stem,derivation,pansemitic,arabic,arabic_romanization,hebrew,hebrew_romanization,arabic_meaning,hebrew_meaning,proto_root,borrowed_from,evidence_count
lexeme,babilim,name,,,babilim,بَابِل,bābil,בָּבֶל,bavél,"Babylon (an ancient city, the ancient capital of Babylonia in modern Iraq, built on the banks of the Euphrates)","Babylon (an ancient city, the ancient capital of Babylonia in modern Iraq, built on the banks of the Euphrates)",bbl,,0
lexeme,babunaj,noun,,,babunaj,بَابُونَج,bābūnaj,בַּבּוֹנָג,babonág,"camomile (Matricaria gen., Anthemis gen. and Chamaemelum gen.)",chamomile,bbnj,,0
lexeme,baka,verb,G,G,baka,بَكَى,bakā,בָּכָה,bakhá,"to cry, to weep (over)","To cry, weep.",bk,,0
lexeme,bala,noun,,,bala,بالُون,bālūn,בָּלוֹן,balón,balloon,balloon,bln,fr:ballon,3
lexeme,balatin,noun,,n,balatin,بَلَاتِين,balātīn,פְּלָטִינָה,platína,platinum,platinum,bltn,es:platina,0
lexeme,balawa,verb,G,G,balawa,بَلَا,balā,בָּלָה,balá,"to test, to try",to wear out,blw,,0
lexeme,balawa,verb,G,G,balawa,بَلِيَ,baliya,בָּלָה,balá,to wear out,to wear out,blw,,0
lexeme,balaʕa,verb,Š,Š,šablaʕa,أَبْلَعَ,ʔablaʕa,הִבְלִיעַ,hivlía,to make swallow,to cause to swallow,blʕ,,0
lexeme,balaʕa,verb,G,G,balaʕa,بَلَعَ,balaʕa,בָּלַע,balá,to swallow,to swallow,blʕ,,0
lexeme,bali,noun,,,bali,بَالِيه,bālēh,בָּלֵט,balét,ballet,ballet (a classical form of dance),blh,fr:ballet,0
lexeme,balsaman,noun,,,balsaman,بَيْلَسَان,baylasān,אֲפַרְסְמוֹן,afarsemón,"Myroxylon, especially Myroxylon balsamum",balsam,bʀśmn,grc:βάλσαμον,2
lexeme,balūṭ,noun,,qatuːl,balūṭ,بَلُّوط,ballūṭ,בַּלּוּט,balút,acorn,acorn,blṭ,,0
lexeme,banan,noun,,n,banan,بَنَان,banān,בָּנָנָה,banána,banana,banana,bwn,,0
lexeme,banay,verb,G,G,banay,بَنَى,banā,בָּנָה,baná,"to build, to construct, to raise","to build, to construct, to raise, to erect (a building, structure, or the like)",bnh,,0
lexeme,bank,noun,,n,bank,بَنْك,bank,בַּנְק,bánk,bank,bank (an institution where one can place and borrow money and take care of financial affairs),bnk,it:banco,0
